,site1,site2,value
213,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('จอมทอง', 'กรุงเทพมหานคร')",1
214,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
215,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
216,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
217,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
218,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
219,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
220,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
221,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
222,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางบ่อ', 'สมุทรปราการ')",1
223,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
224,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('บางเสาธง', 'สมุทรปราการ')",1
225,"('ลาดกระบัง', 'กรุงเทพมหานคร')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
226,"('ยานนาวา', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
227,"('ยานนาวา', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
228,"('ยานนาวา', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
229,"('ยานนาวา', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
230,"('ยานนาวา', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
231,"('ยานนาวา', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
232,"('ยานนาวา', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
233,"('ยานนาวา', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
234,"('ยานนาวา', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
235,"('ยานนาวา', 'กรุงเทพมหานคร')","('ราษฎร์บูรณะ', 'กรุงเทพมหานคร')",1
236,"('ยานนาวา', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
237,"('ยานนาวา', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
238,"('ยานนาวา', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
239,"('ยานนาวา', 'กรุงเทพมหานคร')","('ทุ่งครุ', 'กรุงเทพมหานคร')",1
240,"('ยานนาวา', 'กรุงเทพมหานคร')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
241,"('ยานนาวา', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
242,"('ธนบุรี', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
243,"('ธนบุรี', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
244,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
245,"('ธนบุรี', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
246,"('ธนบุรี', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
247,"('ธนบุรี', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
248,"('ธนบุรี', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
249,"('ธนบุรี', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
250,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
251,"('ธนบุรี', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
252,"('ธนบุรี', 'กรุงเทพมหานคร')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
253,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
254,"('ธนบุรี', 'กรุงเทพมหานคร')","('บางขุนเทียน', 'กรุงเทพมหานคร')",1
255,"('ธนบุรี', 'กรุงเทพมหานคร')","('ภาษีเจริญ', 'กรุงเทพมหานคร')",1
